Median_Income,Average_Income,Tertiary_Edu_Pct,Upper_Secondary_Pct,Below_Upper_Secondary_Pct,Life_Expectancy,Chronic_Disease_Burden,Acute Myocardial Infarction (AMI) Crude,Asthma,Chronic Obstructive Pulmonary Disease (COPD),Diabetes,Hypertension,Ischemic Heart Disease,Year
-1.8907159360191563,-1.8355403077590415,-1.2737581596322598,0.6599753446296978,1.8636673298227853,-0.9005845857239532,-0.9723245237417931,-1.7884139747154368,-1.8319424051234654,0.048406470844913264,-2.013451283409236,-0.2131426206898649,1.0775453258668168,2012
-1.091116347937747,-0.7581204327063096,-0.9569188184172002,0.5419309740455243,1.3529826878428761,1.0167890483978943,-0.41987599688440586,-1.4124216000141954,-1.1382148517129367,0.1781619182251267,-1.468385201817458,0.22650464849247232,0.978967538828305,2013
-0.4282358604091212,-0.5445349949205255,-0.8161013334327293,0.7780197152138713,0.5504782504458762,-0.3892849499582482,0.310086277761904,-0.9392788931867004,-0.4000586248070499,0.5648733889533755,-0.8715045315447323,0.757255062351806,0.877866153000042,2014
-0.7348180858911106,-0.5825057394157745,-0.6048751059560229,0.5419309740455243,0.6963881481544216,0.6333143215735249,0.780670369631989,-0.5504790342227333,0.0741504124661318,0.7755474254727768,-0.3429029356070889,0.980157657862846,0.7851962682263057,2015
-0.15894066235061352,-0.1933056083394554,-0.3232401359870811,0.48290878875343746,0.1857035061745125,-0.1336351320752141,1.0981109978655208,-0.13785794436329696,0.5262567374935961,1.0535533793175695,0.03703635738354242,0.9723352558396787,0.6392457207876728,2016
0.242930633213615,-0.3214568710109259,-0.3584445072331988,0.7780197152138713,-0.2520261869511239,0.7611392305148603,1.127219958284101,0.23327856863490085,1.0524031019815723,0.876969639188714,0.38408203787157913,0.8238438379833557,0.3866707842672387,2017
0.03163747781386471,0.13419206293208027,-0.041605166018139315,0.2468200475850904,-0.2520261869511239,-0.005810223133697064,0.9355635726343688,0.4784549741046813,1.1507559694851863,0.5326230559000461,0.6253398766634984,0.6937799169968292,-0.018883548732766965,2018
0.4873678129897991,0.15792377824161047,-0.006400794772021587,0.3648644181692639,-0.47089103351394207,1.0167890483978943,0.6897813915456722,0.8344179415208987,1.2333999732664398,0.334591825069092,0.8726693048376213,0.2418957953778151,-0.412288578302534,2019
1.7302687271059771,1.5960657259992237,0.7328910013964507,-0.34340180533577724,-1.1274855732023967,1.2724388662807469,-0.3991564919760736,1.04957986043452,0.6836998088077947,-0.5863756635514308,0.7940189908037517,-0.9237190592729839,-0.9342095649946673,2020
1.4319725077180945,1.8571145944040723,1.8594308812722178,-2.1140673640983803,-1.2004405220566694,-1.6036215849020243,-1.2401307972135525,1.236016007353868,-0.13969151569302193,-1.5091338201315068,0.9065189930650319,-1.6821308425600543,-1.3904478337611323,2021
0.3796497337663946,0.4901677925750539,1.7890221387799825,-1.9370008082221197,-1.3463504197652147,-1.667534039372692,-1.9099447579075652,0.996704094453514,-1.2107586061645121,-2.2692176192886038,1.076578391753461,-1.8767796523818736,-1.989662265185277,2022
